data_referencia,codigo,ticker_bbg,emissor,tipo_remuneracao,remuneracao,data_vcto,tx_compra,tx_venda,tx_indicativa,pu_indicativo,desp_pad,intervalo_indicativo_min,intervalo_indicativo_ax,PU_pct_par,duration,ref_ntnb,z_spread,lei_12431,vna,pu_par,RTG_SP_NATIONAL,RTG_FITCH_NATIONAL,AMT_OUTSTANDING,PAYMENT_RANK,COLLAT_TYP,CALLABLE,DUR_ADJ_MID,BICS_LEVEL_1_SECTOR_NAME,CPN_TYP,ISSUE_DT,AMT_OUTSTANDING,INDUSTRY_SECTOR,INDUSTRY_GROUP
4/24/2026,CPGT39,YU539059     Corp,COPEL GERAÇÃO E TRANSMISSÃO S/A (*),DI SPREAD,"DI + 0,9500%",10/10/2034,1.1442,0.7177,0.9015,1007.548278,0.1111,0.7903,1.0127,100.2302,1206.346,,0.9015,NÃO,1000,1005.233943,#N/A N/A,#N/A N/A,300000000,Sr Unsecured,SR UNSECURED,Y,3.290645696,Utilities,FLOATING,10.out.2024,300000000,Utilities,Electric
4/24/2026,CPLD15,ZQ808413     Corp,COPEL DISTRIBUICAO S/A,IPCA SPREAD,"IPCA + 4,2000%",15/11/2027,7.9799,7.7909,7.9069,944.392679,0.161,7.7459,8.068,96.5145,254.6246,15/05/2027,1.3271,SIM,961.553053,978.497997,#N/A N/A,AAA(bra),333350000,Sr Unsecured,SR UNSECURED,N,0.620899501,Utilities,FIXED,27.nov.2019,333350000,Utilities,Electric
4/24/2026,CPLD26,BQ554083     Corp,COPEL DISTRIBUICAO S/A (*),IPCA SPREAD,"IPCA + 4,7742%",15/06/2031,7.6116,7.3713,7.5396,1209.882455,0.1187,7.4209,7.6583,90.8389,924.4687,15/08/2030,0.8799,SIM,1310.38314,1331.898854,#N/A N/A,#N/A N/A,500000000,Sr Unsecured,SR UNSECURED,N,3.032540022,Utilities,FIXED,15.jul.2021,500000000,Utilities,Electric
4/24/2026,CSMGA7,ZM050980     Corp,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),DI SPREAD,"DI + 1,3000%",16/12/2029,1.0269,0.6085,0.8455,903.090783,0.0646,0.7809,0.9102,100.72,402.6465,,0.8455,NÃO,882.3525,896.635386,#N/A N/A,AAA(bra),661764375,Sr Unsecured,SR UNSECURED,Y,1.237700406,Utilities,FLOATING,16.dez.2022,661764375,Utilities,Water
4/24/2026,CSNAB5,YX025381     Corp,COMPANHIA SIDERÚRGICA NACIONAL (*),IPCA SPREAD,"IPCA + 6,9924%",15/04/2039,14.6886,11.69,13.2643,705.420999,0.3685,12.8958,13.6329,64.1703,1832.1621,15/05/2037,7.3464,SIM,1097.52754,1099.295135,#N/A N/A,BBB-(bra) *-,157074000,Sr Unsecured,SR UNSECURED,N,5.437743844,Materials,FIXED,15.abr.2024,157074000,Basic Materials,Iron/Steel
4/24/2026,CSRNB2,ZB498280     Corp,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*),IPCA SPREAD,"IPCA + 6,0691%",15/03/2034,7.7743,7.5884,7.698,1016.57683,0.0554,7.6425,7.7535,91.7685,1411.6724,15/05/2033,1.3299,SIM,1100.79134,1107.762528,brAAA,#N/A N/A,200000000,Sr Unsecured,SR UNSECURED,N,4.863419791,Utilities,FIXED,15.mar.2024,200000000,Utilities,Electric
4/24/2026,EDFT11,YX136470     Corp,EDF OITI TRANSMISSORA S.A. (*),IPCA SPREAD,"IPCA + 6,8209%",15/05/2049,8.0841,7.8481,7.9656,1156.488902,0.0245,7.9411,7.9903,92.6691,1753.7913,15/05/2035,2.3102,SIM,1097.1312,1247.976617,#N/A N/A,#N/A N/A,136000000,Secured,SR SECURED,N,5.339901712,Utilities,FIXED,15.abr.2024,136000000,Utilities,Electric
4/24/2026,EGIEA0,BS015821     Corp,ENGIE BRASIL ENERGIA S.A. (*),IPCA SPREAD,"IPCA + 5,7158%",15/09/2046,7.1972,6.9984,7.111,1068.661473,0.1333,6.9776,7.2444,88.7029,2240.336,15/08/2040,1.1426,SIM,1165.04205,1204.764538,#N/A N/A,AAA(bra),366600335.2,Sr Unsecured,SR UNSECURED,N,6.886026497,Utilities,FIXED,18.out.2021,366600335.2,Utilities,Electric
4/24/2026,EGVG11,ZQ469256     Corp,ENEL GREEN POWER VOLTA GRANDE S.A.,IPCA SPREAD,"IPCA + 3,7000%",15/10/2029,7.5857,7.3794,7.5283,540.732252,0.0809,7.4473,7.6093,93.4499,465.404,15/08/2028,0.4975,SIM,578.132706,578.633033,#N/A N/A,AAA(bra) *-,207600230.5,Sr Unsecured,SR UNSECURED,N,1.155889494,Utilities,FIXED,05.nov.2019,207600230.5,Energy,Energy-Alternate Sources
4/24/2026,ELET24,ZH026747     Corp,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*),DI SPREAD,"DI + 1,5500%",15/09/2028,1.1059,0.8578,0.996,1025.794696,0.0349,0.9611,1.031,100.9188,421.5837,,0.996,NÃO,1000,1016.455684,brAAA,#N/A N/A,3000000000,Sr Unsecured,SR UNSECURED,Y,1.241897697,Utilities,FLOATING,15.set.2023,3000000000,Utilities,Electric
